key,method,problem,status,enc_time,total_solve_time,vars,cls,lits
1760,Picat-SAT,./experiments/mbkp-control/lps/2/4_18.lp,Sat,1.6125824,14.618021,41822,359606,1658128
1761,SavileRow (GT),./experiments/mbkp-control/lps/2/1_19.lp,Timeout,,,,,
1761,SavileRow (GT),./experiments/mbssp-control/lps/2/077.lp,Unknown,26.313671,,72743,19260034,57748074
1762,SavileRow (SWC),./experiments/mbkp-control/lps/2/1_19.lp,Memory,,,,,
1762,SavileRow (SWC),./experiments/mbssp-control/lps/2/077.lp,Unknown,2.6312401,,275326,2795264,7861516
1763,SavileRow (BDD),./experiments/mbkp-control/lps/2/1_19.lp,Sat,23.169046,2.971892,2033668,19289873,54001064
1763,SavileRow (BDD),./experiments/mbssp-control/lps/2/077.lp,Unknown,2.6532674,,82684,805123,2250127
1764,SavileRow (GPW),./experiments/mbkp-control/lps/2/1_19.lp,Sat,3.270634,0.66067755,111160,393694,996721
1764,SavileRow (GPW),./experiments/mbssp-control/lps/2/077.lp,Unknown,1.0219077,,8749,32187,82394
1766,SavileRow (GMTO),./experiments/mbssp-control/lps/2/077.lp,Unknown,1.167865,,5194,18261,49271
1766,SavileRow (GMTO),./experiments/mbkp-control/lps/2/1_19.lp,Sat,5.682346,3.410511,62968,233600,634910
1767,Fun-sCOP (),./experiments/mbkp-control/lps/2/1_19.lp,Sat,58.631363,12.612393,5773929,16114212,46886605
1767,Fun-sCOP (),./experiments/mbssp-control/lps/2/077.lp,Unknown,4.1349487,,160782,452468,1327746
1770,Picat-SAT,./experiments/mbssp-control/lps/2/077.lp,Sat,0.7397746,2.9783843,1582,13252,60307
1770,Picat-SAT,./experiments/mbkp-control/lps/2/1_19.lp,Sat,1.9014349,18.785797,41472,357124,1648264
1771,SavileRow (GT),./experiments/mbssp-control/lps/2/078.lp,Unknown,24.426546,,69825,17289431,51836522
1771,SavileRow (GT),./experiments/mbkp-control/lps/2/2_19.lp,Timeout,,,,,
1772,SavileRow (SWC),./experiments/mbkp-control/lps/2/2_19.lp,Memory,,,,,
1772,SavileRow (SWC),./experiments/mbssp-control/lps/2/078.lp,Unknown,2.8906295,,273346,2773154,7801166
1773,SavileRow (BDD),./experiments/mbkp-control/lps/2/2_19.lp,Sat,22.849918,2.4934566,1987719,18750330,52385417
1773,SavileRow (BDD),./experiments/mbssp-control/lps/2/078.lp,Unknown,2.5699778,,78711,770168,2156530
1774,SavileRow (GPW),./experiments/mbkp-control/lps/2/2_19.lp,Sat,3.2807639,0.52366865,111162,394214,998137
1774,SavileRow (GPW),./experiments/mbssp-control/lps/2/078.lp,Sat,1.0805975,15.15275,8746,32380,82980
1776,SavileRow (GMTO),./experiments/mbssp-control/lps/2/078.lp,Unknown,1.1552243,,5174,18230,49210
1776,SavileRow (GMTO),./experiments/mbkp-control/lps/2/2_19.lp,Sat,5.1369305,2.4470348,62805,232442,631430
1777,Fun-sCOP (),./experiments/mbkp-control/lps/2/2_19.lp,Sat,52.40104,9.728418,5554658,15481649,45021443
1777,Fun-sCOP (),./experiments/mbssp-control/lps/2/078.lp,Unknown,3.7711906,,171713,484311,1422337
1780,Picat-SAT,./experiments/mbkp-control/lps/2/2_19.lp,Sat,1.5302385,6.2048864,41645,359135,1657326
1780,Picat-SAT,./experiments/mbssp-control/lps/2/078.lp,Sat,0.5738966,2.5427861,1652,14089,64152
1781,SavileRow (GT),./experiments/mbkp-control/lps/2/3_19.lp,Timeout,,,,,
1781,SavileRow (GT),./experiments/mbssp-control/lps/2/079.lp,Unknown,21.14712,,63906,14045805,42108972
1782,SavileRow (SWC),./experiments/mbkp-control/lps/2/3_19.lp,Memory,,,,,
1782,SavileRow (SWC),./experiments/mbssp-control/lps/2/079.lp,Unknown,2.4372444,,252116,2561844,7207216
1783,SavileRow (BDD),./experiments/mbssp-control/lps/2/079.lp,Unknown,2.833039,,71210,692899,1936095
1783,SavileRow (BDD),./experiments/mbkp-control/lps/2/3_19.lp,Sat,23.974062,0.8622322,2007994,18889838,52729673
