key,method,problem,status,enc_time,total_solve_time,vars,cls,lits
31,BDD + Mix(25),./experiments/mbkp/lps/1/3_00.lp,Unknown,0.32359758,,25677,110599,354709
31,SavileRow (GT),./experiments/mbssp-control/lps/1/004.lp,Sat,5.799515,0.18163289,47373,3342595,10005417
31,SavileRow (GT),./experiments/mbkp-control/lps/1/4_00.lp,Unknown,103.542404,,559244,108815946,326237059
31,GT + Mix(75),./experiments/mbssp/lps/1/003.lp,Sat,0.7258176,3.4491806,6313,55941,164296
32,SavileRow (SWC),./experiments/mbkp-control/lps/1/4_00.lp,Unknown,12.536371,,1820160,18311685,50564430
32,BDD + Mix(75),./experiments/mbkp/lps/1/3_00.lp,Unknown,0.32746115,,28121,111675,357601
32,SavileRow (SWC),./experiments/mbssp-control/lps/1/004.lp,Unknown,2.6804411,,589759,1151830,2849530
33,SavileRow (BDD),./experiments/mbssp-control/lps/1/004.lp,Sat,2.3082588,30.24873,154927,298235,739770
33,GT + Ord,./experiments/mbssp/lps/1/003.lp,Unknown,5.908724,,33929,6685390,18449630
33,SavileRow (BDD),./experiments/mbkp-control/lps/1/4_00.lp,Unknown,8.203421,,570044,5565056,15236934
34,BDD + Ord,./experiments/mbkp/lps/1/3_00.lp,Unknown,0.8813783,,342170,679577,1690557
34,BDD + Bin,./experiments/mbssp/lps/1/003.lp,Sat,0.11881032,21.29921,9965,45321,135868
34,SavileRow (GPW),./experiments/mbssp-control/lps/1/004.lp,Sat,1.6542147,8.960059,18685,86511,240828
34,SavileRow (GPW),./experiments/mbkp-control/lps/1/4_00.lp,Unsat,3.1331758,19.053892,82925,287471,724498
35,BDD + Mix(25),./experiments/mbssp/lps/1/003.lp,Memory,,,,,
35,GT + SPLIT + PB + Ord,./experiments/mbkp/lps/1/3_00.lp,Unknown,6.164787,,81237,8030301,20176625
36,SavileRow (GMTO),./experiments/mbkp-control/lps/1/4_00.lp,Unsat,3.741665,4.587186,49630,178686,483254
36,BDD + SPLIT + PB + Ord,./experiments/mbkp/lps/1/3_00.lp,Unknown,0.8749079,,342170,679577,1690557
36,SavileRow (GMTO),./experiments/mbssp-control/lps/1/004.lp,Sat,1.7923365,14.095004,17666,38383,111329
36,BDD + Mix(75),./experiments/mbssp/lps/1/003.lp,Memory,,,,,
37,GT + Bin,./experiments/mbkp/lps/1/4_00.lp,Unknown,0.8921195,,14781,76335,248205
37,Fun-sCOP (),./experiments/mbkp-control/lps/1/4_00.lp,Unsat,12.062313,18.79755,1148229,3228186,9363402
37,Fun-sCOP (),./experiments/mbssp-control/lps/1/004.lp,Unknown,4.5115595,,157747,447287,1316075
38,GT + Mix(25),./experiments/mbkp/lps/1/4_00.lp,Unknown,0.908696,,13919,53310,179611
38,BDD + Ord,./experiments/mbssp/lps/1/003.lp,Unknown,0.514057,,118782,468613,1167734
39,GT + SPLIT + Ord,./experiments/mbssp/lps/1/003.lp,Unknown,6.5498915,,71139,7040881,19509690
39,GT + Mix(75),./experiments/mbkp/lps/1/4_00.lp,Unknown,0.90384346,,13919,53310,179611
40,Picat-SAT,./experiments/mbssp-control/lps/1/004.lp,Sat,0.9457831,31.775879,4766,28718,109176
40,Picat-SAT,./experiments/mbkp-control/lps/1/4_00.lp,Unsat,1.9249617,12.3803625,26816,212644,966357
40,BDD + SPLIT + Ord,./experiments/mbssp/lps/1/003.lp,Unknown,0.61101544,,237574,468702,1167950
41,SavileRow (GT),./experiments/mbssp-control/lps/1/005.lp,Sat,5.765457,0.18947776,47203,3408490,10203295
41,GT + Ord,./experiments/mbkp/lps/1/4_00.lp,Unknown,6.264599,,80391,7909992,19924202
41,GT + SPLIT + PB + Ord,./experiments/mbssp/lps/1/003.lp,Unknown,6.591152,,71139,7040881,19509690
41,SavileRow (GT),./experiments/mbkp-control/lps/1/1_01.lp,Unknown,143.50441,,560765,111878586,335430035
42,SavileRow (SWC),./experiments/mbkp-control/lps/1/1_01.lp,Unknown,14.731245,,1841760,18526020,51211060
42,BDD + Bin,./experiments/mbkp/lps/1/4_00.lp,Unknown,0.3131579,,21827,95627,286271
42,SavileRow (SWC),./experiments/mbssp-control/lps/1/005.lp,Sat,2.9375904,47.602245,583831,1140298,2821020
42,BDD + SPLIT + PB + Ord,./experiments/mbssp/lps/1/003.lp,Unknown,0.6179776,,237574,468702,1167950
43,SavileRow (BDD),./experiments/mbssp-control/lps/1/005.lp,Sat,2.2468557,26.849918,154157,296853,736392
43,SavileRow (BDD),./experiments/mbkp-control/lps/1/1_01.lp,Unknown,8.19918,,574327,5617225,15406010
43,BDD + Mix(25),./experiments/mbkp/lps/1/4_00.lp,Unknown,0.31767163,,25809,110923,356590
43,GT + Bin,./experiments/mbssp/lps/1/004.lp,Sat,0.65372777,3.3163385,6584,33947,109271
44,BDD + Mix(75),./experiments/mbkp/lps/1/4_00.lp,Unknown,0.3257979,,28236,112096,360016
44,SavileRow (GPW),./experiments/mbkp-control/lps/1/1_01.lp,Unsat,3.0629551,19.08246,83213,288622,727396
44,SavileRow (GPW),./experiments/mbssp-control/lps/1/005.lp,Sat,1.9585052,3.8925264,18537,85459,237820
44,GT + Mix(25),./experiments/mbssp/lps/1/004.lp,Sat,0.6863177,4.206208,6219,54727,160689
45,GT + Mix(75),./experiments/mbssp/lps/1/004.lp,Sat,0.6795723,2.849352,6269,55129,161721
46,SavileRow (GMTO),./experiments/mbkp-control/lps/1/1_01.lp,Unsat,3.405652,1.8866907,49719,179112,483739
46,SavileRow (GMTO),./experiments/mbssp-control/lps/1/005.lp,Sat,2.0221775,2.8538198,17593,37478,107945
46,BDD + Ord,./experiments/mbkp/lps/1/4_00.lp,Unknown,0.86577296,,337769,670423,1667482
47,Fun-sCOP (),./experiments/mbkp-control/lps/1/1_01.lp,Unsat,12.4832535,23.71258,1181989,3324498,9647455
47,Fun-sCOP (),./experiments/mbssp-control/lps/1/005.lp,Sat,4.2072825,36.64791,157037,445435,1310801
47,GT + Ord,./experiments/mbssp/lps/1/004.lp,Unknown,5.5307193,,32721,6171540,17020308
47,GT + SPLIT + PB + Ord,./experiments/mbkp/lps/1/4_00.lp,Unknown,6.1537004,,80391,7909992,19924202
48,BDD + SPLIT + PB + Ord,./experiments/mbkp/lps/1/4_00.lp,Unknown,0.8583402,,337769,670423,1667482
48,BDD + Bin,./experiments/mbssp/lps/1/004.lp,Sat,0.111314066,16.464817,9918,45003,134466
49,BDD + Mix(25),./experiments/mbssp/lps/1/004.lp,Memory,,,,,
49,GT + Bin,./experiments/mbkp/lps/1/1_01.lp,Unknown,0.8524298,,14689,75694,246115
50,BDD + Mix(75),./experiments/mbssp/lps/1/004.lp,Memory,,,,,
50,GT + Mix(25),./experiments/mbkp/lps/1/1_01.lp,Unknown,0.8623488,,14001,53499,180785
50,Picat-SAT,./experiments/mbkp-control/lps/1/1_01.lp,Unsat,1.2332069,24.287497,26766,209212,944227
50,Picat-SAT,./experiments/mbssp-control/lps/1/005.lp,Sat,0.9146627,2.185861,4762,28503,108551
51,GT + Mix(75),./experiments/mbkp/lps/1/1_01.lp,Unknown,0.8601379,,14044,53667,181263
51,SavileRow (GT),./experiments/mbkp-control/lps/1/2_01.lp,Unknown,151.66734,,559346,110771060,332107734
51,SavileRow (GT),./experiments/mbssp-control/lps/1/006.lp,Sat,5.7962203,0.1743029,46429,2828685,8463460
52,SavileRow (SWC),./experiments/mbkp-control/lps/1/2_01.lp,Unknown,15.169578,,1831680,18423830,50920160
52,SavileRow (SWC),./experiments/mbssp-control/lps/1/006.lp,Unknown,2.389589,,599470,1170760,2896364
52,BDD + Ord,./experiments/mbssp/lps/1/004.lp,Unknown,0.48769945,,114733,452645,1127910
53,SavileRow (BDD),./experiments/mbkp-control/lps/1/2_01.lp,Unknown,8.152126,,558345,5423511,14833695
53,GT + SPLIT + Ord,./experiments/mbssp/lps/1/004.lp,Unknown,6.1119328,,68990,6568835,18205303
53,GT + Ord,./experiments/mbkp/lps/1/1_01.lp,Unknown,5.983179,,80555,7758581,19555959
53,SavileRow (BDD),./experiments/mbssp-control/lps/1/006.lp,Sat,2.1344643,20.71261,146476,281856,699081
54,BDD + Bin,./experiments/mbkp/lps/1/1_01.lp,Unknown,0.31852233,,22081,96815,289622
54,SavileRow (GPW),./experiments/mbssp-control/lps/1/006.lp,Sat,1.7775617,4.3439536,19660,93304,260232
54,SavileRow (GPW),./experiments/mbkp-control/lps/1/2_01.lp,Unsat,2.8535526,18.317661,83417,289297,729261
54,BDD + SPLIT + Ord,./experiments/mbssp/lps/1/004.lp,Sat,0.5854825,29.18218,229481,452744,1128164
55,BDD + Mix(25),./experiments/mbkp/lps/1/1_01.lp,Unknown,0.32547387,,25754,110711,355153
55,GT + SPLIT + PB + Ord,./experiments/mbssp/lps/1/004.lp,Unknown,6.445352,,68990,6568835,18205303
56,SavileRow (GMTO),./experiments/mbkp-control/lps/1/2_01.lp,Unsat,3.4828734,4.151276,49601,179099,484331
56,BDD + SPLIT + PB + Ord,./experiments/mbssp/lps/1/004.lp,Unknown,0.5877716,,229481,452744,1128164
56,BDD + Mix(75),./experiments/mbkp/lps/1/1_01.lp,Unknown,0.33248508,,28181,111616,357664
56,SavileRow (GMTO),./experiments/mbssp-control/lps/1/006.lp,Sat,1.8478949,10.840532,17685,39116,114158
57,Fun-sCOP (),./experiments/mbkp-control/lps/1/2_01.lp,Unsat,12.089777,29.564457,1173514,3297371,9565559
57,Fun-sCOP (),./experiments/mbssp-control/lps/1/006.lp,Sat,4.3851933,34.420734,150177,424789,1248801
57,GT + Bin,./experiments/mbssp/lps/1/005.lp,Sat,0.6100428,1.6204097,6557,33804,108906
58,GT + Mix(25),./experiments/mbssp/lps/1/005.lp,Sat,0.6396758,1.1356485,6229,54436,159840
58,BDD + Ord,./experiments/mbkp/lps/1/1_01.lp,Unknown,0.8967213,,344274,683900,1702218
59,GT + SPLIT + PB + Ord,./experiments/mbkp/lps/1/1_01.lp,Unknown,5.8707733,,80555,7758581,19555959
59,GT + Mix(75),./experiments/mbssp/lps/1/005.lp,Sat,0.64231694,1.1448267,6229,54436,159840
60,BDD + SPLIT + PB + Ord,./experiments/mbkp/lps/1/1_01.lp,Unknown,0.8750351,,344274,683900,1702218
60,Picat-SAT,./experiments/mbssp-control/lps/1/006.lp,Sat,0.9196111,7.017691,4817,29095,110245
60,Picat-SAT,./experiments/mbkp-control/lps/1/2_01.lp,Unsat,1.1572249,26.287123,26713,208730,940492
61,GT + Bin,./experiments/mbkp/lps/1/2_01.lp,Unknown,0.87158734,,14743,76118,247256
61,SavileRow (GT),./experiments/mbssp-control/lps/1/007.lp,Sat,7.1443267,0.18448262,48016,3393613,10158047
61,SavileRow (GT),./experiments/mbkp-control/lps/1/3_01.lp,Unknown,153.55505,,562845,112449664,337142206
61,GT + Ord,./experiments/mbssp/lps/1/005.lp,Sat,5.070874,14.132013,31702,5795240,15737732
62,SavileRow (SWC),./experiments/mbssp-control/lps/1/007.lp,Unknown,2.7148066,,594361,1160814,2871764
62,BDD + Bin,./experiments/mbssp/lps/1/005.lp,Sat,0.11582936,4.053251,9786,44311,132758
62,SavileRow (SWC),./experiments/mbkp-control/lps/1/3_01.lp,Unknown,14.680462,,1848150,18588885,51377420
62,GT + Mix(25),./experiments/mbkp/lps/1/2_01.lp,Unknown,0.88646764,,14009,53600,180676
63,BDD + Mix(25),./experiments/mbssp/lps/1/005.lp,Memory,,,,,
